1,stake1uxd2wmke9kdh22ug8r9cqsnju92qlj47g293q6uzll3epvcwwtx4g,454,2091830129455,1,1702917742545
2,stake1uxvcuzrg0u4jsfdsqzs2d4z28n3xk6ttjm5h62lrccsfkggnms5td,454,696886146689,1,1702917742548
3,stake1u9dqgf6dv9wnkzfzk0gyqhcmjldltzker2jrvl5h37q2rws2ur9kz,454,415869463661,1,1702917742548
4,stake1ux4y0unxzg54eg3c0h3m03xpyarxd5rqqq339ja89s4mltsyy0ce6,454,353743401496,1,1702917742549
5,stake1uye2rghgqtn3zcxjkg4ngfu7vs0fzynmdpegemxgfxgp2gqu7vf6g,454,346654336381,1,1702917742549
6,stake1u9vdk6p3j9xmla7c3e9etv4kk6rje70csevtkc4dvkfmz8cmw8pmg,454,338265339359,1,1702917742549
7,stake1uxw7as64jxvxyz25xw5e5p5z7fss5rmnlk70hpq6sd869vq4z2e4c,454,328568699975,1,1702917742549
8,stake1u9sh00qg3k6nmwhnle3v9tjmagnrgest49g6uunnhct29nqk5dhxw,454,301315725533,1,1702917742549
9,stake1ux6ms2k0r9a38c7raupnxxjwefe0mqjg57rd0t4kc5ky7nc2cffcg,454,276698839224,1,1702917742549
10,stake1ux5wj29jg2fs8v2aqs3fapzxmp06qrymjhn4vvqsmjc4msg2h7pwq,454,155256489656,1,1702917742550
11,stake1u8tgf7mwgfkm9m3sm39v544w86gfcmh40wdw88hs2dh39fs4c46pw,454,150103925499,1,1702917742550
12,stake1uxve5y6890a2a69uez396mdzlm0lvf5es9r3xvtnutcstxchjhcdc,454,143583927390,1,1702917742550
13,stake1uxymcyvpw4z0yckgy02sntf3e2dt54c95jmpvwa7gd3g8vge8x5qw,454,132106747744,1,1702917742550
14,stake1uyy54e603ytnkmfazhwrl4dkwjkggsrjfj0xrn3m8vja4hg2ecgp5,454,130838831686,1,1702917742550
15,stake1uyt823ahv5gpfvmwuk96pxmd8jlt0nmdm0qfshcfuncwe0q73m626,454,121292028489,1,1702917742550
16,stake1uypv3g2hpj5xtmtt8fwxj39pqruqv50vk0kga4ehln2rx8qqyx93u,454,110750396343,1,1702917742550
17,stake1u87uhlwcct6t4szfzgelzjavut04zu2zpwtpj764efdlzhq8nqty3,454,107287552182,1,1702917742550
